stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,current_price
LT.NS,91.30881,5.137415,1.9310392,18.941,8.88864E+11,
LATENTVIEW.NS,49.714966,5.761872,10.193958,41.683,2869619968,
LAURUSLABS.NS,89.61597,7.1632357,5.777533,32.478,30759800832,
LEMONTREE.NS,62,10.917874,8.979102,24.261,8633951232,
LICI.NS,12.770439,5.6362433,0.62129825,9.543,8.87828E+11,
LINDEINDIA.NS,146.83434,17.976793,25.560024,81.824,13007160320,
LLOYDSME.NS,51.666027,11.025295,10.498353,36.181,25795799040,
LUPIN.NS,27.74009,5.2710733,3.9964178,16.671,1.58656E+11,
MMTC.NS,62.823532,5.5930877,3100.6453,-72.137,-28600000,
MRF.NS,33.243248,3.363493,2.2088344,16.308,1.02271E+11,
LODHA.NS,51.97183,7.0989895,10.420915,36.431,55298998272,
MGL.NS,12.734005,2.2533405,1.8241217,7.74,25841199104,1045
MAHSEAMLES.NS,11.772496,1.5629615,1.8348314,8.431,18165000192,645
M&MFIN.NS,14.39394,1.4712039,4.048392,,69821095936,
M&M.NS,26.763403,4.4630356,2.2895398,13.285,6.56491E+11,
MAHLIFE.NS,93.15934,2.7763224,15.40374,-37.735,558899968,
MANAPPURAM.NS,16.211119,1.6318493,2.9996688,,64191000576,
MRPL.NS,30.21064,1.918732,0.26294094,16.515,54591901696,
MANKIND.NS,49.46672,6.9949775,8.22201,35.403,87183998976,
MARICO.NS,56.68127,23.16271,8.500603,41.798,54429999104,
MARUTI.NS,26.957634,4.0576997,2.5538704,18.988,4.57971E+11,
MASTEK.NS,19.243843,2.9164007,2.0783422,13.059,15962000384,3150
MFSL.NS,154.4456,9.698439,1.0958979,66.311,54984900608,
MAXHEALTH.NS,106.15732,12.172515,16.239656,64.875,43774001152,
MAZDOCK.NS,51.987114,19.649864,12.605092,52.081,41764700160,
METROBRAND.NS,80.66622,19.28855,12.678158,39.494,15395099648,
METROPOLIS.NS,58.954857,6.381505,6.4534326,27.785,10625181696,
MINDACORP.NS,45.667538,5.856516,2.4880347,23.536,18040500224,
MSUMI.NS,43.07299,15.488189,2.8138642,25.982,31950999552,
MOTILALOFS.NS,19.07994,4.237554,6.666821,,57115299840,
MPHASIS.NS,28.459646,5.0218744,3.4008365,17.664,60853280768,
MCX.NS,58.8498,11.700559,27.189203,40.295,11394400256,
MUTHOOTFIN.NS,15.76136,2.8638136,7.531779,,1.11669E+11,
NATCOPHARM.NS,8.448276,2.2036126,3.6861982,6.252,36646998016,1050
NBCC.NS,61.435482,13.260996,2.7134712,47.348,12030206976,
NCC.NS,17.945635,2.0105515,0.66285014,7.721,31234600960,233.9
